Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.982122905027933,0.9285714285714286,0.8719512195121951,0.89937106918239
Gradient Boosting,0.9810055865921787,0.9166666666666666,0.8719512195121951,0.89375
KNN,0.9804469273743017,0.9328859060402684,0.8475609756097561,0.8881789137380192
SVM (RBF),0.9807262569832402,0.9480968858131488,0.8353658536585366,0.8881685575364667
AdaBoost,0.9798882681564246,0.9383561643835616,0.8353658536585366,0.8838709677419355
Logistic Regression,0.9798882681564246,0.9475524475524476,0.8262195121951219,0.8827361563517915
LightGBM,0.9776536312849162,0.8875,0.8658536585365854,0.8765432098765432
XGBoost,0.9776536312849162,0.8875,0.8658536585365854,0.8765432098765432
Decision Tree,0.9684357541899441,0.824773413897281,0.8323170731707317,0.8285280728376327
Naive Bayes,0.9427374301675978,0.6382022471910113,0.8658536585365854,0.7347994825355757
